sex,year,sido,height_2014,weight_2014,waist_2014,sight_left_2014,sight_right_2014,hearing_left_2014,hearing_right_2014,SBP_2014,RPBP_2014,cholesterol_2014,triglycerides_2014,HDL_2014,LDL_2014,blood_pigment_2014,urine_protein_2014,serum_creatinine_2014,AST_2014,ALT_2014,gamma_gtp_2014,smoking_2014,alcohol_2014,oral_inspection_2014,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,173.9195583,75.19780737,84.78405154,1.070560877,1.06987119,1.011223664,1.01014923,123.1977415,78.35429653,200.8823929,159.2421066,51.95154246,118.6265367,15.33962106,1.07891912,0.999462998,26.43592465,30.28162145,50.00728785,2.19926095,0.243509494,0.458504052,0.065369439,5.642266738,10.29997686,4.92278306,5.907339672,5.093187089
1,5,26,173.8042271,74.50003358,83.94619597,1.07000951,1.076932506,1.012780492,1.013350278,122.477602,76.98834246,201.5671994,161.6537783,52.08740781,119.0684397,15.20976816,1.07863432,0.97416735,27.43210667,31.08734642,52.96699484,2.242033687,0.276368011,0.409343736,0.073059389,1.877603176,3.427570899,1.638177268,1.965812722,1.694883404
1,5,27,173.3518445,73.50736345,83.73363419,1.079261439,1.076326223,1.013004303,1.012264519,123.598804,77.68239115,200.0296999,156.4859869,52.55799051,117.381512,15.12325696,1.077069799,0.978207705,26.29315853,29.50627517,47.19666944,2.251085254,0.274222619,0.287215034,0.065154491,1.44824722,2.64378016,1.2635714,1.51628568,1.30731041
1,5,28,173.2988302,74.59936274,84.1709137,1.113525362,1.110122171,1.008761767,1.009107757,124.0137616,79.47883686,199.39524,165.4609856,51.27068459,117.2047237,15.37205636,1.08588256,1.007681785,27.06753845,31.0246933,53.22548375,2.26686345,0.254345117,0.561309779,0.07109209,1.723051556,3.145436397,1.503333572,1.804000286,1.555372042
1,5,29,173.4604708,74.10194854,83.69703801,1.127371301,1.120719827,1.014738975,1.010129504,120.3944546,77.57857067,199.2807975,159.0380142,51.023821,117.9647294,15.18798194,1.047535581,0.987945132,27.14287801,30.93086602,51.67122846,2.143021616,0.288595876,0.386869201,0.065111365,0.848821859,1.549527152,0.74058283,0.888699396,0.76621839
1,5,30,173.611863,74.11179075,83.63961992,1.11025828,1.098718792,1.010428059,1.011515886,122.9477924,78.72033135,197.5593546,163.0250642,51.88446803,114.8279789,15.25446441,1.057334544,0.97980599,26.78303687,31.02932061,48.47678464,2.155952587,0.262713406,0.544061981,0.063634511,0.892085112,1.628504365,0.778329292,0.93399515,0.80527146
1,5,31,173.4947008,73.9680982,83.44686546,1.046745756,1.058044244,1.013096166,1.015881581,124.7797248,78.21136582,197.7340103,155.7278522,52.30086359,117.1660747,15.15842789,1.049573127,0.936299809,26.06873846,28.87092208,48.10923925,2.2692723,0.217003216,0.681738469,0.062903143,0.719078679,1.312680541,0.627384082,0.752860898,0.649101223
1,5,41,173.4111019,74.57196786,84.35931988,1.097987847,1.097192381,1.011015032,1.009768185,123.2858292,78.45645502,200.2095353,164.2447361,51.54761077,119.6744944,15.35954782,1.076328387,0.98005618,27.02588065,30.88505267,51.21022023,2.231538351,0.253140735,0.462418958,0.069100326,7.675487153,14.01162756,6.696733758,8.03608051,6.928543773
1,5,42,173.1462435,75.03302111,84.04940229,1.112617493,1.107891442,1.012405618,1.008597768,123.9263524,78.58977957,198.9766172,164.8198395,51.04507102,116.2960704,15.44367804,1.083340454,1.008890243,27.70509094,31.23886161,58.37422768,2.256329543,0.25997174,0.350746269,0.082210771,0.868235725,1.584967229,0.757521102,0.909025322,0.783742986
1,5,43,172.7696075,73.47818074,83.63134394,1.129803416,1.141100805,1.007591212,1.009283156,122.5431396,78.13843582,201.5606277,168.4923515,52.35968945,116.7756242,15.38152183,1.058294955,0.996123795,27.84486253,30.73157985,52.6784054,2.25301705,0.259410025,0.514298023,0.070283745,0.903573608,1.649476653,0.788352812,0.946023374,0.815641948
1,5,44,172.9857456,73.83414127,84.04288156,1.146143155,1.133402318,1.011477081,1.009886025,123.9299758,79.43796491,198.1679586,166.6012611,51.13274928,117.0972206,15.3709695,1.075877275,0.965313459,26.94334224,30.45723194,51.53473966,2.220978487,0.258317549,0.489035956,0.082269917,1.168294726,2.132725942,1.019317546,1.223181055,1.054601615
1,5,45,172.8918813,73.94451034,83.50651684,1.148634426,1.152424812,1.009824918,1.009240451,122.2194677,77.90795679,199.0910064,165.2979418,50.54650853,116.8189072,15.19469357,1.060365171,0.972083249,27.02177228,30.38663375,49.52247269,2.180063336,0.319411418,0.47847001,0.070684836,1.039883516,1.898310848,0.90728092,1.088737104,0.938686798
1,5,46,173.1766292,73.99764185,83.43516377,1.141654608,1.137776454,1.014816856,1.010764557,123.6792525,78.68208397,201.432064,165.1286381,51.36078417,118.7542965,15.04921545,1.061661521,0.993637455,28.68174269,32.14874103,56.6034547,2.120090818,0.294799554,0.388232605,0.075684015,1.062494177,1.939586685,0.927008342,1.11241001,0.959097092
1,5,47,173.1080487,73.43593075,83.7509156,1.098940095,1.101138064,1.017338509,1.01702631,124.0129936,77.96062307,199.2440272,159.6029218,51.17082574,118.1819532,15.21790263,1.067699889,0.969774658,26.76375277,30.20693644,49.96654437,2.21889429,0.291462558,0.396329434,0.071367571,1.497930704,2.734477526,1.306919406,1.568303287,1.352158924
1,5,48,173.2189814,73.64540925,83.15056138,1.080303699,1.091194294,1.020238269,1.018763798,122.6351815,77.39773231,200.0301463,160.3536512,52.42221537,117.7235774,15.14646247,1.079666587,0.96863939,27.27076639,29.86685122,49.77814111,2.225914931,0.289578446,0.352383756,0.073732909,1.981359088,3.616977664,1.72870256,2.074443072,1.788542264
1,5,49,172.7194311,75.41763482,85.46215239,1.045114737,1.041708483,1.011056524,1.017172373,124.5718638,80.16957834,205.7737095,150.5867322,51.01704157,126.031524,15.58720574,1.106727908,0.981631751,27.60977835,29.58791044,56.44997837,2.242263008,0.237894986,0.44537552,0.076652041,0.366645552,0.669312685,0.319892092,0.38387051,0.33096528
1,6,11,171.047286,71.74374683,84.72688388,0.982957158,0.976490841,1.021707713,1.020411982,124.887038,78.926182,196.4115747,150.1460014,52.33648088,115.3771354,15.06708388,1.09872444,1.008149656,27.04873008,27.73363508,50.33672029,2.082917847,0.301606655,0.429073398,0.113284611,3.852088293,7.403525792,4.660087301,5.749946428,6.914968253
1,6,26,171.0190873,70.92969953,83.9562028,0.971873044,0.962782362,1.038436304,1.036246904,123.5726006,77.15028772,197.5590472,148.0354348,52.13972817,116.9412113,14.91024078,1.098409519,0.979058104,28.31730773,28.4827433,53.23537719,2.106983909,0.316454149,0.375728947,0.129938587,1.532375164,2.945150315,1.853800198,2.287350245,2.750800294
1,6,27,170.7773319,70.41077288,84.07770229,0.988723871,0.993585729,1.033594565,1.032314306,125.0778564,78.10803292,196.8473042,149.8515527,52.21864892,115.6526528,14.82970162,1.085987834,0.96513019,26.97869884,27.32994744,46.97268225,2.131691595,0.348061972,0.249809945,0.108085552,1.018434383,1.957381204,1.232057205,1.520199616,1.828213917
1,6,28,170.5102167,71.45494176,84.49942921,1.027583439,1.034444954,1.025311181,1.02402612,125.3617428,79.88554187,195.1397149,156.8038559,51.16850817,114.4808979,15.1045575,1.086395245,0.993209856,28.03801827,28.91655946,52.24353184,2.15547854,0.303438972,0.526578731,0.121903112,1.207031267,2.319855216,1.460213435,1.801714964,2.166768323
1,6,29,171.1894505,72.02683405,84.4590469,1.027656237,1.029235793,1.025717615,1.025995288,122.9113133,78.75661777,192.9120401,155.0432301,50.15576246,112.7699078,14.94101046,1.065668742,1.00516798,27.61496576,29.483907,53.53578881,1.990578991,0.363873054,0.356717421,0.126999232,0.519701876,0.998841653,0.628712513,0.775750117,0.932928245
1,6,30,170.8918297,71.3041661,84.0032349,0.995003018,1.000846356,1.022630492,1.022979479,124.1420992,79.13806856,192.3865237,154.06641,51.5708612,111.7200226,15.06503427,1.067303338,0.979595719,27.20308313,28.8148578,46.94978076,2.060014907,0.334787642,0.469613834,0.108682164,0.589344865,1.132692082,0.712963544,0.879705018,1.057945904
1,6,31,171.0657099,71.27251176,83.91959949,0.917783079,0.927165183,1.041016037,1.054705631,125.6760054,78.41840412,194.5136635,145.3589846,51.9003307,116.4224111,14.95664768,1.081205595,0.935078644,26.37970474,26.82584186,48.12359038,2.108828689,0.270534688,0.713499947,0.101510069,0.502286039,0.965369265,0.607643598,0.749753795,0.901664694
1,6,41,170.658487,71.57326492,84.61751826,0.997722166,1.006579504,1.022118317,1.021754189,124.9820264,78.9795328,195.7578931,152.8407272,51.67836636,115.6627111,15.10410234,1.09521305,0.985396887,27.30932177,28.21209979,49.99699231,2.112926067,0.316928571,0.392788655,0.119464475,4.795470393,9.216660169,5.801349548,7.158116781,8.608454168
1,6,42,170.2666177,72.0364354,84.81384371,1.013792592,1.007829157,1.026290082,1.022689636,125.1238646,78.63085473,192.9405614,154.7337305,50.5499478,112.3886165,15.14212667,1.098792741,1.012163227,28.12210907,29.09613944,55.14121325,2.080804201,0.333466255,0.267313646,0.133759614,0.680217245,1.307344363,0.822896959,1.015348667,1.221072907
1,6,43,170.5392924,71.27453965,84.78181818,1.037482964,1.001702189,1.022477483,1.020780624,124.5240539,78.90900391,196.754531,156.246484,52.32799768,114.1672782,15.12607366,1.084477842,1.007059591,28.40346527,28.76323039,51.6015224,2.098666087,0.343667978,0.442888212,0.129491083,0.651666669,1.252471549,0.788357726,0.972731711,1.169821142
1,6,44,170.6702063,71.82040238,85.06612407,1.034706671,1.02626906,1.029712136,1.024817614,125.1578562,79.62289528,193.1828687,160.2074647,50.3000115,112.9451168,15.04941352,1.092148678,0.953191435,27.8044585,29.10149991,51.17458763,2.066069929,0.356325343,0.368412489,0.122233034,0.806038578,1.549166827,0.975110084,1.203160023,1.446937544
1,6,45,170.5406738,71.9619264,84.53086765,1.021469901,1.035718534,1.020558384,1.019017405,124.2585368,78.55543759,195.5930277,157.1744179,50.03775877,114.9575141,14.92877322,1.073631805,0.979165015,27.70273829,28.89236813,50.35174244,2.021356984,0.385827825,0.419071882,0.130170868,0.744889374,1.43164104,0.901134462,1.11188365,1.337167266
1,6,46,170.9725413,72.29827905,84.69555852,1.016082476,1.036967782,1.026585174,1.02441592,125.1793898,79.41515626,196.4488751,153.8823297,50.66905745,116.2129339,14.78663328,1.076941886,1.006351077,28.99605451,29.96890704,55.41174272,1.953239513,0.379756068,0.30467471,0.146614016,0.789876911,1.518104891,0.955558409,1.179035779,1.417925381
1,6,47,170.7971445,71.08605554,84.55876838,0.997972601,1.008064579,1.039418406,1.038060065,125.0517929,78.19541668,194.547237,149.7204023,50.8047406,115.490209,14.9789614,1.087013108,0.966303453,27.79356497,28.26390191,48.87722496,2.075090496,0.358576229,0.343685819,0.116845415,1.148293581,2.206964247,1.389155161,1.714038223,2.061327013
1,6,48,170.9292671,70.85983563,83.53146676,0.990334707,0.986241368,1.046575518,1.044306106,123.4911981,77.58757877,195.662615,148.8124334,52.30910974,114.969944,14.89732666,1.09949471,0.972631726,28.43625947,28.07527928,50.76561928,2.080481683,0.327039051,0.31502686,0.125471955,1.378727234,2.649846488,1.667923678,2.058002602,2.474983522
1,6,49,170.5908421,73.30714456,86.31268472,0.949808398,0.948684301,1.012341916,1.016970135,127.0567435,81.14821049,200.6711354,139.1776525,50.56688945,123.1984092,15.36080343,1.10001848,1.012258519,27.67590893,27.66645876,55.56408748,2.122977369,0.316526214,0.39330881,0.121390923,0.232146695,0.446174623,0.280840879,0.346521407,0.416731627
1,7,11,168.5684979,69.03328931,85.13035129,0.881756358,0.876089902,1.04733493,1.043433867,127.4501604,78.00399001,187.5642179,134.909147,52.19663539,108.9636653,14.72723385,1.112888988,1.029334879,26.88314076,25.47027569,42.64053032,1.920261712,0.391352974,0.380332672,0.135137616,2.799409776,7.315245984,2.86071072,5.966625216,9.29730984
1,7,26,168.6690634,68.57957461,84.5445343,0.841728917,0.861480098,1.07609689,1.065948373,124.7423094,76.40728187,190.2586234,134.5114219,50.82859075,113.0843264,14.48925179,1.1087767,1.022410329,27.82677447,26.22161079,46.43503179,1.953050058,0.432454119,0.34374492,0.145267457,1.166830219,3.049089186,1.192381246,2.486966599,3.87523905
1,7,27,168.3693412,67.99954253,84.74147878,0.876223298,0.858341322,1.063541367,1.061394797,126.7361158,76.90540515,187.9440515,134.4076439,51.40925068,110.1095019,14.46157986,1.090819361,0.971427441,26.51640409,24.82311676,40.39039947,1.934018106,0.473588476,0.258870917,0.135321706,0.673684211,1.760430274,0.68843642,1.435881676,2.237418365
1,7,28,168.3712151,68.82086093,84.82322202,0.906223264,0.895012429,1.049226817,1.041801299,127.2404863,78.83206301,186.379678,140.7537131,51.32268329,107.832777,14.66854575,1.120842955,1.008760513,27.78404517,26.28692693,44.87718673,1.994904436,0.4344195,0.416622961,0.149304883,0.687064111,1.795393807,0.70210931,1.464399418,2.281855258
1,7,29,168.8577021,69.17779546,84.88453804,0.870480001,0.866293793,1.065698762,1.055869878,125.1795294,77.83038756,183.7871444,140.0317297,49.41255635,107.0510538,14.50559047,1.077703049,1.025798046,26.62522998,25.5324265,42.96922189,1.813069886,0.483814644,0.350087175,0.149944525,0.344362447,0.899866831,0.35190323,0.733969594,1.143685498
1,7,30,168.5357372,68.67858359,84.51944067,0.867896542,0.88991026,1.049802469,1.044722643,127.3819735,78.40640885,179.9753906,136.3765194,50.84377393,102.3729451,14.61645666,1.109867003,0.973662356,26.76087558,25.83396628,39.42984135,1.975383764,0.460182424,0.376971782,0.149636288,0.365097246,0.954049737,0.373092076,0.778163473,1.212549247
1,7,31,168.8082028,68.60517461,84.88509456,0.849005654,0.839164183,1.093500577,1.097226543,126.325294,77.15289355,191.279346,133.2702374,51.99470194,112.8921069,14.62165608,1.075055381,0.96497346,28.5167004,25.91665748,41.80819004,1.909082497,0.439288907,0.568259497,0.140179988,0.277013384,0.723874389,0.28307937,0.590422686,0.920007953
1,7,41,168.247001,68.95655374,85.27617444,0.901362109,0.893394203,1.051532789,1.043433727,127.1727902,77.76052345,187.1826943,138.4952044,51.58978471,108.7500588,14.72275553,1.107729187,1.004287891,27.06047077,25.5776897,44.34921111,1.953953674,0.432706739,0.312525047,0.147655214,2.727790135,7.12809393,2.787522766,5.813976055,9.05944899
1,7,42,167.8919636,69.21907604,85.1206836,0.914139097,0.910937057,1.044439811,1.039604811,127.7277048,77.96269113,184.8096151,140.4479727,49.94098148,107.4782237,14.78109834,1.109132651,1.00704681,27.82845422,26.19016418,45.75674123,1.881618856,0.468762972,0.234553085,0.140020345,0.466904412,1.220085981,0.477128596,0.995153929,1.550667937
1,7,43,167.9759399,68.29730658,85.28223483,0.926212113,0.885081057,1.054071118,1.051221546,127.1284335,77.8777722,187.035628,140.3433712,52.3993924,107.0799651,14.66532839,1.085720885,0.999437741,27.44894752,25.29782234,41.81878122,1.905463366,0.467534747,0.37314369,0.147331871,0.433389088,1.132505792,0.44287936,0.923719808,1.43935792
1,7,44,168.2943428,69.10378363,85.81610138,0.896977642,0.875691751,1.058935951,1.055693226,127.257736,78.6414952,184.7919637,142.8833829,49.86384729,107.0191347,14.63703861,1.093975668,0.965645772,28.16836204,27.19505298,45.834225,1.892322051,0.47050604,0.241266057,0.139170521,0.581604483,1.519813176,0.594340348,1.239624154,1.931606131
1,7,45,168.0185534,68.87498378,84.79685721,0.917147974,0.918818012,1.036341881,1.036353489,127.2501108,77.96354084,187.1887571,144.5519676,49.7001908,108.8029754,14.50763173,1.093725668,0.99989354,27.40683213,26.32610795,43.90547139,1.80862804,0.50701772,0.388740536,0.153425746,0.581123723,1.518556882,0.59384906,1.238599468,1.930009445
1,7,46,168.7473272,69.63799161,85.51171681,0.883946697,0.903962276,1.051978301,1.052685402,128.2640551,78.90491948,189.1225289,138.259725,50.5244795,111.1900947,14.31812422,1.111312643,1.00228644,29.17761344,27.72798245,47.80061037,1.777155367,0.518410198,0.203302284,0.156929402,0.635436277,1.660483118,0.64935094,1.354360532,2.110390555
1,7,47,168.3891901,68.52657494,85.20285902,0.891717859,0.874121733,1.065986962,1.066417602,127.2565449,77.59778412,187.5789087,139.2733793,50.68619758,109.4373814,14.55784981,1.087972674,0.975253996,27.70771892,26.24276813,43.92345139,1.918238576,0.49675026,0.207817965,0.136006394,0.861602275,2.251486237,0.880469478,1.836407768,2.861525804
1,7,48,168.6310063,68.43207532,84.31043655,0.885111866,0.895621763,1.089583322,1.078899143,125.6059734,77.05180497,186.8968867,132.4936332,51.46808824,109.2960647,14.45650999,1.110934053,0.973866184,28.12119025,26.03130858,45.87064123,1.901882226,0.445517746,0.225079946,0.151049864,0.90842882,2.373850493,0.928321422,1.936213252,3.017044622
1,7,49,168.1725664,70.74280973,86.64018647,0.873323325,0.803081542,1.054013906,1.047803413,128.7772756,79.29524336,194.1440265,122.5401391,50.75873894,119.0429082,14.99788875,1.109172029,1.006360619,28.24159292,25.68200063,50.22811315,1.864269912,0.460350822,0.371728824,0.150995575,0.155570282,0.406526721,0.15897693,0.331580454,0.516675023
1,8,11,165.8694732,64.78374135,84.79786565,0.754718463,0.823310426,1.14628881,1.119031014,129.5794745,74.69139479,176.4583769,114.7529423,50.96504694,103.0275581,13.88186058,1.108807862,1.094798857,24.58926362,20.09957403,30.69954413,1.664338905,0.625656876,0.338862066,0.114904442,2.046490117,3.576748493,1.216831961,5.199191108,10.28776113
1,8,26,166.8360199,64.6452016,84.02546672,0.705148521,0.75584745,1.225120065,1.182781596,128.1468562,75.99638462,182.0735393,118.9604252,49.88289684,108.4248707,13.57816927,1.13233389,1.091442548,25.45990604,21.01424092,32.93381254,1.697163307,0.669815853,0.30314652,0.111017519,0.808177458,1.412490332,0.480537948,2.053207596,4.062729924
1,8,27,166.3616496,63.75890817,83.84937875,0.847673462,0.838768447,1.212076334,1.191242173,129.3907157,75.12655491,179.5840361,120.6986278,51.00140555,105.4672388,13.62726548,1.173642265,1.06096407,25.57702621,20.27223829,29.86639472,1.725425474,0.740727649,0.287510116,0.093195992,0.505851642,0.884101068,0.300776652,1.285136604,2.542929876
1,8,28,165.5948915,64.60707687,84.55594964,0.929607025,0.709636472,1.140742652,1.119318989,129.6925753,76.04931052,177.2204025,122.3591465,49.71232368,102.8222004,13.74025822,1.146871101,1.096277577,25.52309287,19.94419279,31.79560896,1.572487483,0.664785654,0.365514673,0.156060379,0.485674373,0.848836291,0.288779357,1.233875434,2.441498198
1,8,29,166.0402089,63.67898964,83.40072783,0.704461981,0.800331052,1.165457418,1.137077512,126.4634486,74.90783219,178.220657,116.1877526,49.33063207,105.6103811,13.64238022,1.081961511,1.080963834,25.02721319,21.09897158,32.20583452,1.518262523,0.693641526,0.371646707,0.131778586,0.261418009,0.456892737,0.155437735,0.66414305,1.314155398
1,8,30,165.7804936,63.64305403,83.8556083,0.838227748,0.885020248,1.14691089,1.135195091,128.9922195,75.54616258,172.6706296,125.3708206,49.0690515,98.71793705,13.74179988,1.168261237,1.056469855,24.8290357,21.56663227,29.37200957,1.624830339,0.680607086,0.39105567,0.127442243,0.267790475,0.468030199,0.159226769,0.680332558,1.346189954
1,8,31,166.2822778,63.81961424,82.26387609,0.659027405,0.737856978,1.41348405,1.398072421,126.6784281,71.70445387,195.584896,112.5983972,55.94607358,116.9226739,14.18435559,1.074194404,1.101500902,26.02273432,19.48910277,30.51822209,1.569704287,0.763392965,0.597289804,0.117776015,0.150519663,0.263070402,0.089498178,0.382401306,0.756666414
1,8,41,165.603029,64.35708643,84.47989754,0.781762061,0.866140103,1.13652443,1.138976461,129.4259737,75.58561776,178.5486974,120.9190231,50.56505832,104.0129639,13.90185411,1.14524203,1.071844486,25.01310544,20.39309616,32.27997951,1.674677409,0.657070381,0.239207018,0.122086484,2.142970407,3.745371702,1.27419862,5.444303195,10.77277015
1,8,42,164.7655709,63.70446497,84.02325059,0.708498688,0.841753631,1.148915248,1.117878206,130.9452701,76.71201737,178.0720372,125.3424353,48.06018771,104.7848073,13.94412058,1.087121903,1.070475126,25.85128494,20.47293866,34.81212418,1.547262621,0.704569541,0.163995645,0.12019026,0.463050764,0.809295929,0.275327481,1.176399237,2.327768703
1,8,43,164.5359706,61.17459656,83.17579996,0.848315903,0.800062001,1.114782205,1.105069963,128.8965824,77.37714293,180.4534019,122.88159,51.72246179,104.1491315,13.7796729,1.112371539,1.02707787,25.76454414,19.44165194,31.25473219,1.647122817,0.622657468,0.215900195,0.119045339,0.410044589,0.716654508,0.243810296,1.041734903,2.061305233
1,8,44,164.854725,62.25858401,83.7876507,0.767153554,0.731691163,1.157845998,1.148374495,128.9327582,77.54476753,178.2404595,123.0478433,50.19526621,103.4670914,13.80712836,1.122220242,1.00903095,25.39488842,20.14267649,33.36571007,1.692519954,0.674828832,0.14033828,0.107930892,0.609690943,1.065585973,0.362518939,1.548944558,3.06493285
1,8,45,164.4076961,62.137785,83.07818453,0.859387119,0.753323519,1.105826695,1.107108382,129.6847748,77.07638853,180.4133392,125.3724653,49.15386918,105.8715743,13.52649061,1.074861395,1.05208227,25.73348489,20.40105874,34.83872942,1.595127345,0.677750258,0.251180184,0.11241509,0.561970722,0.982183064,0.334144754,1.427709403,2.825042009
1,8,46,165.0617589,62.56528614,83.04490987,0.83499051,0.887724056,1.10453635,1.10178038,128.6887156,77.39006626,182.7402246,122.3601407,49.99798114,108.157046,13.32248045,1.087280251,1.070718481,27.21323068,21.88069747,38.10845258,1.543016114,0.663379186,0.076326952,0.119238934,0.661697252,1.156479881,0.393441609,1.681068693,3.326369967
1,8,47,165.1850123,62.13257034,83.18458881,0.758249767,0.728817222,1.162504424,1.168844462,128.2557488,77.08068205,183.1720613,120.6307499,51.39812966,107.4764007,13.63317728,1.141412214,1.049188799,26.21749723,20.46570639,31.17670141,1.730213685,0.710218761,0.080932917,0.104953664,0.824908521,1.44173201,0.490486148,2.095713541,4.146837431
1,8,48,165.2067274,62.1253573,82.10460086,0.707326358,0.727609057,1.137995204,1.138344712,127.4141059,76.30905967,183.0970146,112.9182842,51.6863252,108.7441087,13.42873768,1.110260324,1.039867974,25.70752936,19.71450443,34.06411744,1.625907307,0.704938196,0.137318734,0.106857129,0.731541138,1.278549376,0.434970406,1.858509917,3.677477071
1,8,49,165.967429,65.71509972,84.93833834,0.647408177,0.741358281,1.082536383,1.068422268,129.9490875,77.2956033,180.0704936,112.2044429,49.45921306,108.2362777,14.25455378,1.120106143,1.061054131,26.52896743,21.8975591,35.61104181,1.732007173,0.71961192,0.251282051,0.118133518,0.133361982,0.233083104,0.079296314,0.338811523,0.670414289
2,5,11,160.9113955,59.46965186,74.57519623,0.986783355,0.970029879,1.006208135,1.006660362,115.3740567,72.49601661,192.9795618,96.6023528,61.41230624,112.2760796,12.81016628,1.079653212,0.754442043,21.06911978,17.82281956,20.79331056,1.128630283,0.615458047,0.41525212,0.022738866,4.761369505,0.98375403,1.396930723,6.473101517,1.731407093
2,5,26,160.992214,59.73446323,74.27884729,0.971349262,0.965854875,1.008426142,1.008817255,115.3024428,71.83704341,193.7297699,94.11739511,61.01306043,114.0136724,12.66692697,1.066013223,0.747982429,22.16403962,18.58375317,21.4182495,1.077113668,0.662216496,0.380592605,0.026736778,1.608688732,0.332373705,0.471970661,2.187018979,0.584977721
2,5,27,160.7112972,59.28710032,74.50140378,0.995758434,0.97839705,1.008086261,1.006692533,116.394375,72.49056177,191.3284867,95.98983026,62.4597932,110.5130683,12.5760264,1.063826846,0.739054817,21.20832181,17.57872319,20.39189746,1.06554495,0.679289807,0.245478233,0.027328419,1.259567771,0.260241275,0.369542611,1.71238759,0.458024644
2,5,28,160.3087047,60.29516707,75.1706834,1.017794396,1.005546254,1.006575079,1.005993805,116.8357928,74.24764487,192.4177035,102.7887433,59.42359279,112.4789202,12.82413156,1.080358424,0.753093709,21.6296022,18.49106593,22.59638986,1.129776505,0.606802577,0.503749757,0.028210937,1.427696521,0.29497862,0.41886964,1.94095932,0.519162371
2,5,29,160.9155885,59.76441069,73.94777611,1.030087625,1.013343762,1.009927522,1.007969763,114.1942555,72.29926106,189.5737946,96.32245265,59.09746327,111.0704747,12.63310212,1.047480857,0.757014241,21.56118315,18.45440248,20.90938394,1.048643866,0.689166371,0.347188641,0.02340534,0.718823417,0.148517235,0.210894474,0.977243406,0.261390334
2,5,30,160.7410232,59.33986585,74.13137699,1.009126794,0.993316506,1.00678926,1.006615542,115.4193662,72.74692031,188.1098601,100.1196866,60.41425777,108.3727748,12.64821933,1.071526983,0.746807952,21.24770377,18.76836362,19.92463038,1.083199041,0.669371592,0.467523662,0.025562953,0.752379984,0.15545041,0.220739582,1.022863698,0.273592722
2,5,31,160.5376185,59.64981313,75.00706065,0.958486093,0.962731025,1.010764953,1.008906217,116.1256041,72.47875899,194.6332776,98.8384712,61.27299164,113.5620665,12.70238892,1.054146665,0.747521186,22.20418252,18.83765403,21.0416117,1.078582019,0.643733625,0.453681951,0.035790208,0.597979653,0.123549515,0.175440311,0.812955809,0.217447146
2,5,41,160.5279066,59.81577612,74.96605376,1.005654852,0.998585108,1.005966773,1.006411982,115.9120565,73.01169618,192.7612964,99.28501639,60.76309324,114.2996428,12.82352598,1.072641609,0.739889583,21.36076905,18.1880377,21.07971255,1.120080099,0.62330343,0.370204873,0.026453185,6.239163704,1.28908341,1.830498442,8.482168838,2.268786802
2,5,42,159.9057109,60.29934667,74.86239229,1.019684512,1.008786381,1.008101459,1.007584109,116.5795362,73.15716357,190.2233582,101.530986,58.75580846,111.0103185,12.91862447,1.057579082,0.757492096,22.00638335,18.73607645,22.43189949,1.096815744,0.660852867,0.307060499,0.034963821,0.667542674,0.13792204,0.195849297,0.907527023,0.24274279
2,5,43,160.1547236,59.95626037,75.06105311,1.03228335,1.03802254,1.007431387,1.007187127,116.5920048,73.67513135,192.130037,103.0737643,61.23031936,109.9221553,12.84260762,1.047197707,0.769810286,22.12921038,18.43599428,21.73105369,1.080704842,0.624034469,0.485064885,0.036574354,0.708242476,0.14633109,0.207790148,0.962858572,0.257542718
2,5,44,160.2302291,60.19982903,75.73977783,1.042833719,1.046831068,1.006448195,1.00813115,117.0891395,74.47343495,191.8012133,101.2241704,60.16354545,111.7270006,12.8304684,1.066048892,0.716068038,21.53484972,18.81234432,20.60324503,1.073336906,0.682843085,0.370806967,0.034506175,0.858323374,0.17733954,0.251822147,1.166894173,0.31211759
