sex,year,sido,height_2016,weight_2016,waist_2016,sight_left_2016,sight_right_2016,hearing_left_2016,hearing_right_2016,SBP_2016,RPBP_2016,cholesterol_2016,triglycerides_2016,HDL_2016,LDL_2016,blood_pigment_2016,urine_protein_2016,serum_creatinine_2016,AST_2016,ALT_2016,gamma_gtp_2016,smoking_2016,oral_inspection_2016,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,170.4790559,72.40839045,85.41275993,1.073057161,1.071174134,1.010183312,1.01042534,123.7965173,78.83507313,203.5502001,165.6723357,52.55606894,119.5433186,15.39630201,1.09736443,0.982751253,26.54530095,31.07602627,51.03145712,2.205851181,0.447156289,0.070171154,5.716449292,8.174336284,4.785431492,6.61022638,5.735069648
1,5,26,170.2156846,71.85338224,84.6746185,1.063206626,1.075468464,1.013058377,1.013549996,122.6280671,77.21064104,205.0383164,167.8021417,52.44993048,121.6016627,15.35771748,1.092090679,0.96590191,27.66868208,32.15298396,53.58006489,2.267425361,0.423599318,0.079924053,1.916124997,2.739996331,1.604052522,2.215714573,1.922366446
1,5,27,169.8936367,70.99257462,84.56552595,1.089611914,1.089469898,1.010029598,1.009086622,124.2193186,78.20475265,203.3460421,163.0052881,51.63132018,120.4794176,15.32278429,1.071067301,0.971459089,26.51136285,30.88569358,49.51606784,2.248331731,0.315387811,0.072249329,1.467921667,2.099080168,1.228846477,1.697433849,1.47270317
1,5,28,169.954369,72.00353097,84.93433124,1.117061806,1.121368836,1.007616449,1.009297595,124.0136819,79.3622958,203.1044998,171.8318694,51.72291172,118.9972394,15.39720438,1.085544377,0.981707325,27.64097551,31.984424,55.26999638,2.284987504,0.531524807,0.083190624,1.775255928,2.538558151,1.486126298,2.052820373,1.781038521
1,5,29,169.5816178,71.28060203,84.44694031,1.128118315,1.124471075,1.010139615,1.008950568,120.9362453,77.61065438,203.712905,172.1656784,51.0675831,120.1191874,15.33820797,1.057912605,0.999528039,27.46845778,33.04702822,55.02774489,2.155834298,0.371218268,0.079827499,0.878960433,1.256884789,0.735807268,1.016387472,0.881823496
1,5,30,170.1575419,71.32282502,84.49658438,1.097494462,1.094812613,1.008973429,1.012428561,123.9772933,79.18677801,201.8643215,166.0106802,52.07664166,118.6179204,15.25092535,1.069847124,0.971511782,26.92384719,31.09611708,48.3285803,2.158488227,0.550863108,0.070995465,0.907175944,1.29723205,0.759427419,1.049014528,0.910130914
1,5,31,170.0956994,71.17284101,84.41122941,1.070749478,1.062999751,1.012156981,1.015086289,125.645301,78.84692292,202.4947871,166.3578574,52.77526053,119.9790465,15.2644085,1.086532666,0.927465936,26.22032652,29.52307779,50.41905474,2.266769335,0.703383302,0.07399943,0.720193541,1.029853305,0.602898176,0.832797092,0.722539448
1,5,41,169.9504961,71.73185784,85.02700688,1.102451967,1.100163288,1.009335445,1.009441649,123.5962756,78.64068608,202.8174483,168.0832844,51.94377533,119.4450586,15.4253026,1.084997278,0.971815426,27.03814017,31.77318819,52.5399411,2.229329195,0.451050527,0.069312427,8.015543588,11.46196624,6.710080463,9.268788188,8.04165285
1,5,42,169.720061,72.33841622,84.6724466,1.121036129,1.113985293,1.008554661,1.010378386,125.1466387,79.44899342,199.2376275,167.4598663,51.75502969,115.6715646,15.50628718,1.093030701,0.983214188,27.22729246,31.78170693,57.8740841,2.26093396,0.370190974,0.088714323,0.887825979,1.269562231,0.743228914,1.026639162,0.89071792
1,5,43,169.2382517,70.70229562,84.14461637,1.134604359,1.134405853,1.012789097,1.014903984,124.2222252,79.62599911,201.9612989,169.5186278,53.1685696,116.9846584,15.45214189,1.071818961,0.987817399,27.9958233,32.01212167,53.83705562,2.27199385,0.570427029,0.067741608,0.925087674,1.322845241,0.774421929,1.06972679,0.928100989
1,5,44,169.4624585,71.17443542,84.59080614,1.143023781,1.13629033,1.009287946,1.009614077,124.2804608,79.44521879,200.748605,170.2648563,52.051039,116.8568096,15.45499315,1.071537743,0.950433339,27.50328093,31.5777252,54.36406755,2.223026603,0.489687919,0.077056908,1.223278463,1.749248356,1.024047443,1.414540242,1.227263083
1,5,45,169.1835479,70.90830393,84.20021478,1.156057597,1.152830189,1.011493191,1.009784224,123.6525715,79.03222404,203.8006282,174.2045911,51.36553043,119.3428324,15.36647114,1.070454347,0.965405341,27.2965405,31.38769312,53.49735187,2.199256368,0.472194638,0.075891242,1.066679329,1.525316695,0.892953054,1.233456553,1.070153854
1,5,46,169.4780084,71.05842071,83.89628951,1.129775002,1.132670959,1.012101165,1.011414852,123.9463778,78.16033265,203.8457887,168.0064941,52.16826562,119.9902125,15.29573088,1.061536714,0.991803934,28.22202916,32.39163451,57.44550615,2.155490857,0.39627099,0.08939695,1.076628738,1.539544026,0.901282038,1.24496157,1.080135672
1,5,47,169.7069307,70.92728964,84.53777598,1.113726566,1.121719402,1.013386929,1.012259959,124.0987524,78.09650588,202.2238605,169.1008346,51.25490886,119.543429,15.32489286,1.067117649,0.957411436,26.82141322,30.69493361,51.46401667,2.234607777,0.361388513,0.077561441,1.526895599,2.183410971,1.278215534,1.765628462,1.5318692
1,5,48,169.8176851,70.98048759,83.97892097,1.100706074,1.101004089,1.017677972,1.017413767,122.3471604,77.34217637,203.557219,165.4564796,53.7211045,120.8318746,15.28536291,1.079488231,0.939889727,27.69113776,31.19783602,50.32524445,2.232430535,0.34554677,0.077240637,2.044515589,2.923590696,1.711532594,2.364179265,2.051175249
1,5,49,169.5705331,72.88090362,86.33614356,1.023553342,1.012476308,1.006103379,1.010424424,125.2444048,80.941086,206.8484046,156.563972,51.62079338,125.6461271,15.63170266,1.085773459,0.96907563,27.16107724,31.47740373,62.85291574,2.290227611,0.454623208,0.073727347,0.400943596,0.573336283,0.335643336,0.463631846,0.402249602
1,6,11,167.4624868,68.6724159,85.16155728,0.984174787,0.982096811,1.025279664,1.023655265,125.3623277,79.24744717,197.3143866,154.1939778,52.91309827,115.0949839,15.16739392,1.110981202,0.974101086,27.47876975,28.54774981,51.27627326,2.089302414,0.42016835,0.121081946,4.558809555,6.883261858,4.684942626,5.495798081,7.622041272
